iter	Passed	Remaining
0	0	67
1	1	67
2	2	81
3	3	76
4	4	77
5	4	77
6	5	76
7	6	76
8	7	75
9	8	74
10	9	74
11	10	73
12	10	72
13	11	70
14	12	69
15	13	68
16	13	68
17	14	67
18	15	67
19	16	67
20	17	67
21	18	66
22	19	64
23	20	63
24	20	62
25	21	61
26	22	61
27	23	59
28	24	59
29	24	58
30	25	57
31	26	55
32	27	55
33	27	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	72	0
99	73	0
